gcf	og	protocore	tajimas_d	median_length	samples_with	proportion_of_samples_with_gcf_with_og
GCF_4	HOG0005830	False	-1.6910950425927787	1338.0	10	1.0
GCF_4	HOG0001504	False	-1.2187027474116434	1677.0	10	1.0
GCF_4	HOG0005831	False	-1.3065755839005866	1689.0	10	1.0
GCF_4	HOG0005832	False	-1.2937936401592314	732	9	0.9
GCF_4	HOG0005833	False	0.6896641505925376	2088	9	0.9
GCF_4	HOG0005834	False	0.6878119386455005	816	9	0.9
GCF_4	HOG0000223	False	-0.47773108003304415	1257.0	8	0.8
GCF_4	HOG0005835	False	-1.8669464560570947	1635.0	8	0.8
GCF_4	HOG0000541	False	-0.4167926675428608	834.0	8	0.8
GCF_4	HOG0005836	False	-1.2119450931480138	4353.0	8	0.8
GCF_4	HOG0005837	False	0.28323574901439424	894.0	8	0.8
GCF_4	HOG0005838	False	-0.7468731181608792	1509.0	8	0.8
GCF_4	HOG0005839	True	-0.7206741948877702	1005.0	8	0.8
GCF_4	HOG0000278	False	-0.9470954542504395	1401.0	8	0.8
GCF_4	HOG0005840	False	-0.08352170113069152	1440.0	8	0.8
GCF_4	HOG0005841	False	-0.7267306251724956	1497.0	8	0.8
GCF_4	HOG0000450	False	-1.6289854859077453	1887.0	8	0.8
GCF_4	HOG0005842	False	-0.5780005088608565	726.0	8	0.8
GCF_4	HOG0000672	False	-0.5639929534878402	918.0	8	0.8
GCF_4	HOG0005843	False	-0.15422782456728631	1537.5	8	0.8
GCF_4	HOG0011620	False	-1.6216257379781702	948.0	8	0.8
GCF_4	HOG0005844	False	-1.5898048475392563	1899.0	8	0.8
GCF_4	HOG0005845	False	-0.8393815282607952	1254.0	8	0.8
GCF_4	HOG0005846	False	-0.9749554019476201	1560.0	8	0.8
GCF_4	HOG0005847	False	-1.1477281154919532	3069.0	8	0.8
GCF_2	HOG0007590	False	0.21912960163582423	678.0	8	0.8
GCF_2	HOG0007591	False	-0.8335783952030796	2934.0	8	0.8
GCF_2	HOG0007592	False	0.695441645568678	1512.0	8	0.8
GCF_2	HOG0007593	False	-1.189301220536458	957	9	0.9
GCF_2	HOG0007594	True	-0.5798153242110083	16059	9	0.9
GCF_2	HOG0007595	False	0.35323045874674514	1071	9	0.9
GCF_2	HOG0007596	False	-1.47117548021478	3750	9	0.9
GCF_2	HOG0011842	False	-0.20062184492640178	2904.0	8	0.8
GCF_2	HOG0007597	False	-0.5628625071223952	1443.0	10	1.0
GCF_2	HOG0012547	False	0.3139026201040054	1183.5	8	0.8
GCF_2	HOG0007598	False	-1.5026328913524902	2373.0	10	1.0
GCF_2	HOG0007599	False	-0.7215833967760643	448.5	10	1.0
GCF_2	HOG0011843	False	0.40114259551530035	1206.0	8	0.8
GCF_2	HOG0007600	False	-1.4533521635195923	1131	9	0.9
GCF_2	HOG0007601	False	-0.4710489857397351	2184	9	0.9
GCF_2	HOG0007602	True	-0.2422404049115666	11778	9	0.9
GCF_2	HOG0011844	False	-1.2697153623383544	300.0	8	0.8
GCF_2	HOG0007603	False	-0.6840621819208949	2118	9	0.9
GCF_2	HOG0007604	False	0.34709805696704205	1290	9	0.9
GCF_2	HOG0007605	False	0.5048122409585059	1527	9	0.9
GCF_2	HOG0007606	False	0.1509114960502084	2436.0	8	0.8
GCF_2	HOG0007607	False	0.6018176488445246	1086.0	8	0.8
GCF_2	HOG0007608	False	-0.12902141063737677	1074.0	8	0.8
GCF_2	HOG0007609	False	-0.5816586996685436	1524.0	8	0.8
GCF_2	HOG0011845	False	-0.6828392743966691	1164.0	8	0.8
GCF_2	HOG0007610	False	-1.5147910079919642	1293.0	8	0.8
GCF_2	HOG0007611	False	1.0548640888841982	1032.0	8	0.8
GCF_2	HOG0007612	False	-0.6722450912875971	762.0	8	0.8
GCF_2	HOG0007613	True	-1.4170561545072429	7263.0	8	0.8
GCF_2	HOG0007614	False	0.6881305423596309	939.0	8	0.8
GCF_2	HOG0007615	False	0.8918065182853323	4186.5	8	0.8
GCF_2	HOG0007616	False	0.9657092476194402	1572.0	8	0.8
GCF_2	HOG0007618	False	1.0513812378463263	1473.0	8	0.8
GCF_3	HOG0004991	False	0.7819544911326685	711	9	0.9
GCF_3	HOG0004992	False	-0.3744700524171475	1737	9	0.9
GCF_3	HOG0004993	False	1.49856020086953	882	9	0.9
GCF_3	HOG0004994	False	0.36022559242506547	831	9	0.9
GCF_3	HOG0000506	False	-0.8503812630645873	1650	9	0.9
GCF_3	HOG0004995	False	-1.473831266694892	333	9	0.9
GCF_3	HOG0004996	True	-1.7078734039582375	804	9	0.9
GCF_3	HOG0004997	False	1.2065679288546982	1500	9	0.9
GCF_3	HOG0004998	False	-1.7666294549580466	1554	9	0.9
GCF_3	HOG0011519	False	-1.6693053718585171	1107	9	0.9
GCF_3	HOG0011520	False	-1.5910517843579044	792	9	0.9
GCF_3	HOG0012426	False	-0.7667737484729226	1017.0	8	0.8
GCF_3	HOG0005000	False	0.38718118901820514	2952	9	0.9
GCF_3	HOG0005002	False	-1.9267763564994018	1968	9	0.9
GCF_3	HOG0005003	False	-1.8204300499903692	1584	9	0.9
GCF_3	HOG0001014	False	-0.301777856641395	1308.0	8	0.8
GCF_3	HOG0001411	False	-1.6308599184226682	2487	9	0.9
GCF_3	HOG0005004	False	-1.9229224089353965	1344	9	0.9
GCF_3	HOG0011521	False	-1.0915750914455444	1698.0	8	0.8
GCF_3	HOG0011522	False	-0.22614367069369767	924.0	8	0.8
GCF_3	HOG0011523	False	-0.04533655068950421	1035.0	8	0.8
GCF_14	HOG0006654	False	-1.1489508391682628	732.0	8	0.8
GCF_14	HOG0001589	False	-0.8779255449961963	1459.5	8	0.8
GCF_14	HOG0006653	False	-1.3282564536348485	4404.0	8	0.8
GCF_14	HOG0006652	False	-1.5386274104214113	1812.0	10	1.0
GCF_14	HOG0000089	False	-1.7782079878552624	1512.0	10	1.0
GCF_14	HOG0006651	False	0.21961455269874777	1548.0	10	1.0
GCF_14	HOG0006650	False	0.028292033993866383	1164.0	10	1.0
GCF_14	HOG0006649	False	-1.9434566089007124	858.0	10	1.0
GCF_14	HOG0006648	True	-1.308475683893177	5673.0	10	1.0
GCF_14	HOG0006647	False	-0.9848494493744687	1041.0	10	1.0
GCF_14	HOG0006646	False	0.22620319644738976	3042	9	0.9
GCF_14	HOG0006645	False	0.04731299674101952	1599	9	0.9
GCF_14	HOG0006644	False	0.4910673546099206	933.0	8	0.8
GCF_14	HOG0006643	False	0.6280612360509771	1014.0	8	0.8
GCF_14	HOG0006642	False	-0.9452151657369491	1461.0	8	0.8
GCF_15	HOG0011816	False	-0.5954368704763556	1335.0	8	0.8888888888888888
GCF_15	HOG0011817	False	-1.1995041211011968	5715.0	8	0.8888888888888888
GCF_15	HOG0011818	False	-1.343421127216803	5214.0	8	0.8888888888888888
GCF_15	HOG0011819	False	-1.8528336863608454	816.0	8	0.8888888888888888
GCF_15	HOG0011820	True	-1.0457120040290355	6330.0	8	0.8888888888888888
GCF_15	HOG0011821	False	-1.321355326101172	1491.0	8	0.8888888888888888
GCF_15	HOG0011822	False	-1.6683448264068708	1368	9	1.0
GCF_15	HOG0011823	True	-1.688232032945907	1314	9	1.0
GCF_15	HOG0011824	True	-1.8179621692547112	11673	9	1.0
GCF_15	HOG0011825	False	-0.9215467142511548	1797	9	1.0
GCF_8	HOG0010606	False	-1.4829459424937337	1440.0	8	0.8
GCF_8	HOG0010607	False	-0.9435571883491672	669.0	8	0.8
GCF_8	HOG0010608	False	-1.6562994964096007	2109.0	8	0.8
GCF_8	HOG0010609	False	-0.8311662910987165	1515.0	8	0.8
GCF_8	HOG0010610	False	-1.1704322342881643	816.0	8	0.8
GCF_8	HOG0010612	False	0.09005532359661335	1206.0	8	0.8
GCF_8	HOG0010613	False	0.5047637690973467	1446.0	8	0.8
GCF_8	HOG0010614	False	-1.1790502778091574	780.0	8	0.8
GCF_8	HOG0010615	True	-0.41529341540409964	7383.0	8	0.8
GCF_8	HOG0010616	False	0.005888485339688917	792.0	8	0.8
GCF_8	HOG0010617	True	-0.8027859634151645	6762.0	8	0.8
GCF_8	HOG0010618	False	-0.8494565812150209	1419.0	8	0.8
GCF_8	HOG0010619	False	-0.06432096983644309	1014.0	8	0.8
GCF_8	HOG0010620	False	-0.30391572837932	1650.0	8	0.8
GCF_8	HOG0010621	False	0.7499782982713019	1293.0	8	0.8
GCF_8	HOG0000037	False	-0.19231266930848354	1410.0	8	0.8
GCF_8	HOG0010622	False	-1.4450005302930609	1356.0	8	0.8
GCF_8	HOG0010623	False	-0.01974574278781925	531.0	8	0.8
GCF_8	HOG0010624	False	0.30467360881120176	828.0	8	0.8
GCF_8	HOG0010625	False	-1.7692454848601713	375.0	8	0.8
GCF_8	HOG0010626	False	-1.3376981100867562	930.0	8	0.8
