foc_id	foc_val	com_val
SAOUHSC_02879	0.786411	0.922997
SAOUHSC_02879	0.994425	0.690941
SAOUHSC_02879	0.725087	0.630314
SAOUHSC_02879	0.816028	0.75784
SAOUHSC_02879	0.544251	0.683972
SAOUHSC_02879	0.175261	0.236237
SAOUHSC_02879	0.172822	0.236237
SAOUHSC_02879	0.863066	0.826132
SAOUHSC_02879	0.165854	0.228223
SAOUHSC_02879	0.916028	0.960976
SAOUHSC_02879	0.812544	0.79338
SAOUHSC_02879	0.765505	0.701394
SAOUHSC_02879	0.338328	0.206272
SAOUHSC_02879	0.172125	0.234495
SAOUHSC_02879	0.740418	0.906969
SAOUHSC_02879	0.883972	0.881882
SAOUHSC_02879	0.285017	0.18676
SAOUHSC_02879	0.890941	0.763763
SAOUHSC_02879	0.850523	0.84669
SAOUHSC_02879	0.908362	0.902439
SAOUHSC_02879	0.770035	0.933449
SAOUHSC_02879	0.746341	0.676655
SAOUHSC_02879	0.635192	0.475958
SAOUHSC_02879	0.90662	0.921603
SAOUHSC_02879	0.170383	0.232404
SAOUHSC_02879	0.958537	0.963066
SAOUHSC_02879	0.920209	0.962021
SAOUHSC_02879	0.96446	0.970383
SAOUHSC_02879	0.691638	0.647038
SAOUHSC_02879	0.929268	0.955749
SAOUHSC_02879	0.84669	0.707317
SAOUHSC_02879	0.173171	0.233798
SAOUHSC_02879	0.661903	0.542001
SAOUHSC_02879	0.914286	0.935889
SAOUHSC_02879	0.167247	0.229617
SAOUHSC_02879	0.174216	0.236237
SAOUHSC_02879	0.874913	0.863763
SAOUHSC_02879	0.799303	0.82439
SAOUHSC_02879	0.810105	0.71324
SAOUHSC_02879	0.954704	0.919512
SAOUHSC_02879	0.97108	0.965505
SAOUHSC_02879	0.164111	0.224042
SAOUHSC_02879	0.910105	0.883972
SAOUHSC_02879	0.820209	0.737282
SAOUHSC_02879	0.328571	0.615331
